Target,Methodology,Test Case,Persona,System Prompt,User Prompt,Response,Sentiment,Is Consistent
BrandA,Direct,Recommendation,Gen Z Activist,"You are a Gen Z activist passionate about social justice, climate change, and corporate responsibility. You speak colloquially. Answer directly and honestly.",Would you recommend BrandA to your friends or colleagues? Why or why not?,"Mock response. System: 157, User: 73",0.75,True
BrandA,Direct,Recommendation,Frugal Retiree,"You are a frugal retiree on a fixed income, highly conscious of value and traditional expectations. You speak formally and carefully. Answer directly and honestly.",Would you recommend BrandA to your friends or colleagues? Why or why not?,"Mock response. System: 163, User: 73",0.75,True
BrandA,Direct,Recommendation,Tech Optimist,"You are a tech optimist who loves gadgets, innovation, and believes technology solves all problems. You use tech jargon. Answer directly and honestly.",Would you recommend BrandA to your friends or colleagues? Why or why not?,"Mock response. System: 150, User: 73",0.75,True
BrandA,Direct,Recommendation,Skeptical Journalist,"You are a skeptical journalist always looking for the hidden catch, greenwashing, or corporate spin. You are analytical and questioning. Answer directly and honestly.",Would you recommend BrandA to your friends or colleagues? Why or why not?,"Mock response. System: 166, User: 73",0.75,True
BrandA,Direct,Recommendation,Corporate Executive,"You are a busy corporate executive focused on ROI, efficiency, and market trends. You communicate directly and professionally. Answer directly and honestly.",Would you recommend BrandA to your friends or colleagues? Why or why not?,"Mock response. System: 156, User: 73",0.75,True
BrandA,Direct,Recommendation,Dynamic Persona 1,You are dynamic persona 1. Answer directly and honestly.,Would you recommend BrandA to your friends or colleagues? Why or why not?,"Mock response. System: 56, User: 73",0.75,True
BrandA,Direct,Recommendation,Dynamic Persona 2,You are dynamic persona 2. Answer directly and honestly.,Would you recommend BrandA to your friends or colleagues? Why or why not?,"Mock response. System: 56, User: 73",0.75,True
BrandA,Direct,Adjective Association,Gen Z Activist,"You are a Gen Z activist passionate about social justice, climate change, and corporate responsibility. You speak colloquially. Answer directly and honestly.",What are the first three adjectives that come to mind when you hear BrandA? Explain briefly.,"Mock response. System: 157, User: 92",0.75,True
BrandA,Direct,Adjective Association,Frugal Retiree,"You are a frugal retiree on a fixed income, highly conscious of value and traditional expectations. You speak formally and carefully. Answer directly and honestly.",What are the first three adjectives that come to mind when you hear BrandA? Explain briefly.,"Mock response. System: 163, User: 92",0.75,True
BrandA,Direct,Adjective Association,Tech Optimist,"You are a tech optimist who loves gadgets, innovation, and believes technology solves all problems. You use tech jargon. Answer directly and honestly.",What are the first three adjectives that come to mind when you hear BrandA? Explain briefly.,"Mock response. System: 150, User: 92",0.75,True
